step,train_end_date,test_start_date,test_end_date,n_train,n_test,accuracy,auc_roc,f1
1,2022-03-02,2022-03-03,2022-05-26,500,60,0.23333333333333334,0.16907675194660732,0.17857142857142858
2,2022-05-26,2022-05-27,2022-08-23,560,60,0.55,0.5417142857142857,0.425531914893617
3,2022-08-23,2022-08-24,2022-11-16,620,60,0.6333333333333333,0.6975446428571428,0.6206896551724138
4,2022-11-16,2022-11-17,2023-02-14,680,60,0.45,0.6006944444444443,0.547945205479452
5,2023-02-14,2023-02-15,2023-05-11,740,60,0.4,0.4922360248447205,0.4375
6,2023-05-11,2023-05-12,2023-08-08,800,60,0.55,0.4964114832535885,0.6086956521739131
7,2023-08-08,2023-08-09,2023-11-01,860,60,0.4166666666666667,0.38005390835579517,0.10256410256410256
8,2023-11-01,2023-11-02,2024-01-30,920,60,0.5,0.485,0.3181818181818182
9,2024-01-30,2024-01-31,2024-04-25,980,60,0.5833333333333334,0.5722679200940071,0.46808510638297873
10,2024-04-25,2024-04-26,2024-07-23,1040,60,0.5166666666666667,0.4352678571428571,0.6027397260273972
11,2024-07-23,2024-07-24,2024-10-16,1100,60,0.45,0.5124434389140271,0.547945205479452
12,2024-10-16,2024-10-17,2025-01-13,1160,60,0.4666666666666667,0.44999999999999996,0.5555555555555556
13,2025-01-13,2025-01-14,2025-04-09,1220,60,0.5333333333333333,0.4125714285714286,0.631578947368421
14,2025-04-09,2025-04-10,2025-07-08,1280,60,0.5333333333333333,0.6303827751196172,0.65
15,2025-07-08,2025-07-09,2025-10-01,1340,60,0.5333333333333333,0.5757918552036199,0.46153846153846156
16,2025-10-01,2025-10-02,2025-12-26,1400,60,0.48333333333333334,0.4860956618464961,0.6352941176470588
17,2025-12-26,2025-12-29,2026-03-25,1460,60,0.5666666666666667,0.7788461538461539,0.6829268292682927
